Price,Close,High,Low,Open,Volume
Ticker,ITC.BO,ITC.BO,ITC.BO,ITC.BO,ITC.BO
Date,,,,,
2020-02-28,161.8846435546875,163.64603517830312,156.14986384881456,159.75457752074647,1388715
2020-03-02,160.2051544189453,166.59533940423708,158.77145963061565,163.07254399560463,656410
2020-03-03,158.8124542236328,161.76176226197424,157.87030425933983,160.81962479851006,772957
2020-03-04,153.5692138671875,159.959399817155,152.8728552225138,159.959399817155,1066231
2020-03-05,153.9788360595703,156.60044719809136,152.87285030624616,153.9788360595703,520777
2020-03-06,148.94046020507812,152.09458230944168,147.26098609712832,152.09458230944168,1338833
2020-03-09,145.17185974121094,146.89229877487696,143.0008408423344,146.89229877487696,791139
2020-03-11,143.94300842285156,144.76226289594786,141.1985134384777,142.79605716084924,1789199
2020-03-12,128.00848388671875,139.27323046875,123.21584124966859,139.27323046875,2497345
2020-03-13,132.92398071289062,134.3576754201175,110.55834077998641,122.88811776230258,2308081
2020-03-16,120.59423065185547,130.2614339074142,118.99668726447743,130.2614339074142,1229008
2020-03-17,122.23274230957031,127.63982583365694,114.6956050493502,120.71712931477265,2053604
2020-03-18,123.42066955566406,126.65673441524731,120.8400232128073,125.83748002058421,884047
2020-03-19,132.67822265625,133.94806923787553,118.62801733591097,123.70739116158536,2717547
2020-03-20,143.82008361816406,144.63933785409682,134.357694692975,134.357694692975,2473883
2020-03-23,126.49285888671875,135.095029034478,122.27370424314921,135.095029034478,1932537
2020-03-24,122.4375228881836,133.66130157115919,120.83997989147831,131.080656153468,2023455
2020-03-25,120.71710968017578,124.44470623732424,113.8763322056224,122.88812827944864,1686218
2020-03-26,128.78675842285156,132.7601463142551,117.3991299827884,122.88813065173376,1871263
2020-03-27,133.45652770996094,135.99622117807598,126.94345817177917,131.16262554617484,1619672
2020-03-30,130.67105102539062,135.13598412452527,127.84462640306336,130.26142390618875,1007322
2020-03-31,140.9117431640625,142.30447300912292,132.3095727964889,133.86615100552783,1455856
2020-04-01,136.28294372558594,141.56713091449708,134.80828363777118,141.23942172785644,848837
2020-04-03,145.6634063720703,149.63678193557112,137.06123685207592,137.7985606677444,1952021
2020-04-07,148.69464111328125,152.09454113014104,142.22253776763466,150.7427766658058,2009993
2020-04-08,146.31883239746094,150.74280090185763,144.8441720623856,148.61273458443443,1445611
2020-04-09,151.84878540039062,152.58610925012707,147.83443193841384,151.07048383576767,1245599
2020-04-13,148.8175506591797,152.83190455511703,148.28504032134094,151.84880181558347,664395
2020-04-15,155.20770263671875,158.64856770886755,150.0054460695494,151.3981756819874,1539827
2020-04-16,152.79092407226562,156.64141670957798,151.97166978769584,155.45350049711743,1093031
2020-04-17,154.10171508789062,156.8462090695495,153.11860007869626,156.06792010462615,1344318
2020-04-20,148.08021545410156,156.39564163971275,147.13807800479418,156.39564163971275,1330184
2020-04-21,147.1790313720703,150.90664097212155,144.22972336496582,146.64652107241815,671347
2020-04-22,149.39102172851562,150.33315914242846,144.35260044749592,147.01517683557708,917472
2020-04-23,148.08021545410156,151.07048866349334,147.46577472607623,151.07048866349334,1732881
2020-04-24,147.4657745361328,149.71872386932372,146.97421695401428,148.85850435103058,307133
2020-04-27,147.30194091796875,149.3500768803965,146.8513485060687,147.46578929479702,495128
2020-04-28,147.1790313720703,148.12118132638474,145.90919719584917,147.4657753800853,280678
2020-04-29,149.18621826171875,149.92354215724245,147.2609655888761,148.28503349978624,356741
2020-04-30,149.2271728515625,151.5620527180918,147.8754081925166,151.5620527180918,623844
2020-05-04,142.59121704101562,149.22716953925936,139.8876752821035,149.22716953925936,1934840
2020-05-05,142.4683074951172,145.33569733832633,141.93579723885225,143.53334050847468,395357
2020-05-06,134.19387817382812,140.6659831724088,131.5722664972194,140.6659831724088,2397288
2020-05-07,131.94090270996094,135.87332570691026,131.57224078855307,135.83236049323648,753953
2020-05-08,129.6879425048828,134.35768894992833,128.70483996395117,133.53843474901413,770389
2020-05-11,129.81082153320312,133.94805761726565,129.5240900724389,131.3264467573377,600808
2020-05-12,135.17698669433594,135.9962411591501,129.0735434316367,130.09761151265437,815398
2020-05-13,135.50465393066406,141.97677029183134,134.80829528792438,141.73099150581743,672513
2020-05-14,134.31675720214844,137.7985884234649,132.76017883295077,135.50467358925508,1093710
2020-05-15,134.84925842285156,135.5456170548525,132.1457168200473,132.88304066589023,475955
2020-05-18,134.80828857421875,136.9793073240927,133.66132513021756,136.32390142763884,742763
2020-05-19,139.84669494628906,140.54306604403945,135.34079666886961,135.99620255484157,695883
2020-05-20,143.98391723632812,144.9670197187153,139.9286116834645,139.9286116834645,1001276
2020-05-21,154.7571258544922,156.14986810742144,141.48520924482116,144.18875082291646,1970882
2020-05-22,152.66806030273438,157.13299422005213,151.3572482807558,154.01982504347546,1244340
2020-05-26,156.88717651367188,159.71360095330894,154.0197868645969,155.82214357242154,1667390
2020-05-27,157.41973876953125,158.85343406798174,153.07770015203167,157.41973876953125,847999
2020-05-28,156.10890197753906,158.11607241738693,154.92098579892118,157.82932842562525,632971
2020-05-29,161.76177978515625,162.21237220812262,155.08486138399235,156.31374299162965,1314698
2020-06-01,164.3424072265625,168.1519344812263,163.48218776559165,163.85084967719982,1177469
2020-06-02,161.5569305419922,165.32550497434104,161.18826864119941,165.32550497434104,973789
2020-06-03,161.27023315429688,164.5472507444206,160.0003863379579,163.8508795061873,681985
2020-06-04,163.93276977539062,165.9809052673329,159.75456837149758,162.13040054181982,841987
2020-06-05,163.80990600585938,165.57131037201322,162.82680327868226,164.42434677294875,605910
2020-06-08,162.00753784179688,166.8411332119666,161.51598026141448,165.81706533686042,744734
2020-06-09,162.7039031982422,168.84831022988536,161.96656685394814,162.99063469255532,1341970
2020-06-10,163.2364044189453,166.47245610926834,162.49908061638016,163.19543920750783,1024793
2020-06-11,159.4268798828125,164.87491557091155,158.60762564395083,163.85084777233448,855456
2020-06-12,158.935302734375,159.9593704066326,154.06074311459417,155.3305895283588,980250
2020-06-15,153.36441040039062,158.9763076462822,152.7090044262908,158.9763076462822,778118
2020-06-16,151.5210723876953,156.4775631445333,149.022344402761,155.74023931329333,1398189
2020-06-17,148.53079223632812,151.6029955540921,148.03923470515497,150.0054523290203,950373
2020-06-18,152.91383361816406,153.56923965915414,148.08023750491935,148.73564354590943,1673493
2020-06-22,151.60301208496094,153.52825220685912,150.08738661593523,152.21745281551264,1797697
2020-06-23,152.2993621826172,153.56920878785849,151.3981899956409,151.5210731345106,1673135
2020-06-24,157.13296508789062,159.46783216182067,152.54513636237056,153.69209979416436,3687943
2020-06-25,165.69419860839844,166.71826658496457,157.17395804370022,157.17395804370022,2764627
